iter	Logloss
0	0.6734133781
1	0.6586789461
2	0.6468957423
3	0.6367442544
4	0.6281168454
5	0.6211530382
6	0.6153666053
7	0.6110533735
8	0.6073409712
9	0.6037480182
10	0.6008318447
11	0.5983488965
12	0.59641556
13	0.5945999189
14	0.5929661194
15	0.5911761273
16	0.5897064112
17	0.5887980089
18	0.5879141405
19	0.5867904063
20	0.5858582937
21	0.5852649104
22	0.5846813512
23	0.5840360407
24	0.5832687132
25	0.5828216263
26	0.5823668649
27	0.5819811425
28	0.5814164417
29	0.5810657243
30	0.5806906316
31	0.5802236034
32	0.5799577134
33	0.5796335178
34	0.5793973691
35	0.5791200539
36	0.5789091125
37	0.5786936439
38	0.5784956869
39	0.5783415379
40	0.5781578023
41	0.5778434437
42	0.5775345796
43	0.5773552895
44	0.5771298966
45	0.5769733636
46	0.5768037571
47	0.5766353102
48	0.5764724181
49	0.5762528712
50	0.576120127
51	0.5759744852
52	0.5758485942
53	0.5756474877
54	0.5754764677
55	0.5753115853
56	0.5751835211
57	0.5751086896
58	0.5750395945
59	0.5749425759
60	0.5748730361
61	0.5748208421
62	0.5747530012
63	0.5746951953
64	0.5746268296
65	0.5745478872
66	0.5744156684
67	0.5743458812
68	0.5742975177
69	0.5742119417
70	0.5741137528
71	0.574048804
72	0.5739613545
73	0.5739031047
74	0.5737951139
75	0.5736917524
76	0.5736253003
77	0.5735850137
78	0.5734832277
79	0.573371983
80	0.5732963538
81	0.5732261655
82	0.5730903776
83	0.5730147877
84	0.5729319835
85	0.572870619
86	0.5727894513
87	0.5727329786
88	0.5726698024
89	0.5725074326
90	0.5724582195
91	0.5723929125
92	0.5723090225
93	0.572257286
94	0.5722156285
95	0.5721552498
96	0.5721215932
97	0.5720708394
98	0.5720150831
99	0.5719578238
100	0.5718879825
101	0.5718515377
102	0.5717730347
103	0.5717190115
104	0.5716490478
105	0.5715376184
106	0.5714620582
107	0.5713561328
108	0.5713255909
109	0.5712362304
110	0.5711951866
111	0.5711500604
112	0.5710864288
113	0.5710244206
114	0.5709526161
115	0.5708818486
116	0.5708331321
117	0.5707748253
118	0.5707088383
119	0.5706716492
120	0.5706303306
121	0.5705666189
122	0.5705330863
123	0.5704614251
124	0.5703950476
125	0.5703716986
126	0.570332257
127	0.5702337094
128	0.5701855875
129	0.5701014681
130	0.5700209722
131	0.5699244817
132	0.5698021878
133	0.5697615564
134	0.569697471
135	0.5696112129
136	0.5695611443
137	0.5695069878
138	0.5694525497
139	0.5694071641
140	0.5693395304
141	0.56929466
142	0.5692225607
143	0.5691283934
144	0.5690640367
145	0.568993736
146	0.5689468298
147	0.5689079278
148	0.5688165798
149	0.5687686967
150	0.5687129718
151	0.5686377944
152	0.5685722272
153	0.5685149105
154	0.5684531726
155	0.5684080763
156	0.5683805812
157	0.5683298609
158	0.5682154504
159	0.5681518976
160	0.5680943203
161	0.5680348305
162	0.5680029998
163	0.5679726192
164	0.5679211739
165	0.5678638773
166	0.5677883583
167	0.567678947
168	0.5676497194
169	0.5676096994
170	0.5675633241
171	0.5675111284
172	0.5674621385
173	0.567420231
174	0.5673659013
175	0.5673087055
176	0.5672634009
177	0.5672152993
178	0.5671664523
179	0.5671004235
180	0.5670519623
181	0.5669910295
182	0.5669355108
183	0.5668857295
184	0.5668491439
185	0.5668224723
186	0.5667828522
187	0.5667399364
188	0.5666920495
189	0.5666404905
190	0.5666205171
191	0.5665907269
192	0.5665555734
193	0.5665192284
194	0.5664789745
195	0.5664496835
196	0.5663952153
197	0.566343844
198	0.5663166859
199	0.5662861693
200	0.566231066
201	0.5661433116
202	0.5660890156
203	0.5660294142
204	0.5659711545
205	0.5659161942
206	0.5658525068
207	0.5657995669
208	0.5657311966
209	0.5656845668
210	0.5656234956
211	0.5655836374
212	0.5655522258
213	0.5655216104
214	0.5654790712
215	0.5654509988
216	0.5654191986
217	0.5653701122
218	0.5653375313
219	0.5653018633
220	0.5652216559
221	0.5651770614
222	0.5651144868
223	0.5650811651
224	0.5650159119
225	0.5649950698
226	0.5648999161
227	0.56485811
228	0.5648233996
229	0.5647941125
230	0.5647371681
231	0.5646931529
232	0.5646416599
233	0.5645398241
234	0.5644984846
235	0.5644567172
236	0.5644059666
237	0.564372733
238	0.5643378061
239	0.5642950943
240	0.5642491287
241	0.5642141626
242	0.5641426563
243	0.5641055779
244	0.5640566782
245	0.5640260028
246	0.5639940954
247	0.5639680927
248	0.5639154585
249	0.5638676916
250	0.5638071353
251	0.5637761789
252	0.5637568882
253	0.5637119308
254	0.5636548298
