iter	Passed	Remaining
0	26	26089
1	53	26797
2	83	27715
3	107	26702
4	134	26797
5	161	26717
6	190	27047
7	217	26921
8	240	26522
9	269	26676
10	299	26936
11	323	26651
12	351	26708
13	379	26743
14	408	26829
15	432	26604
16	455	26324
17	487	26619
18	514	26589
19	540	26483
20	568	26481
21	596	26500
22	621	26383
23	647	26328
24	676	26369
25	705	26414
26	730	26322
27	753	26168
28	783	26233
29	813	26309
30	846	26464
31	879	26617
32	907	26596
33	933	26536
34	957	26392
35	984	26367
36	1016	26447
37	1043	26415
38	1073	26442
39	1100	26422
40	1128	26388
41	1162	26515
42	1192	26550
43	1220	26518
44	1246	26446
45	1271	26377
46	1303	26429
47	1331	26416
48	1360	26404
49	1391	26447
50	1416	26360
51	1443	26315
52	1469	26249
53	1500	26282
54	1526	26233
55	1552	26163
56	1577	26105
57	1609	26133
58	1635	26081
59	1662	26049
60	1692	26047
61	1722	26060
62	1748	26002
63	1772	25924
64	1802	25923
65	1831	25919
66	1858	25885
67	1888	25881
68	1916	25858
69	1942	25812
70	1970	25781
71	2001	25799
72	2030	25785
73	2056	25731
74	2077	25623
75	2105	25599
76	2130	25532
77	2156	25487
78	2180	25426
79	2209	25414
80	2238	25401
81	2263	25341
82	2292	25324
83	2322	25326
84	2350	25304
85	2378	25283
86	2410	25294
87	2437	25257
88	2459	25178
89	2487	25156
90	2515	25130
91	2546	25130
92	2574	25110
93	2603	25096
94	2635	25103
95	2661	25066
96	2690	25049
97	2719	25027
98	2746	24992
99	2770	24930
100	2792	24859
101	2822	24848
102	2851	24831
103	2879	24810
104	2908	24789
105	2940	24800
106	2967	24765
107	2993	24725
108	3018	24676
109	3048	24663
110	3073	24615
111	3099	24574
112	3125	24534
113	3153	24505
114	3179	24465
115	3205	24425
116	3236	24425
117	3264	24399
118	3291	24368
119	3321	24354
120	3351	24349
121	3376	24300
122	3404	24270
123	3433	24252
124	3460	24221
125	3488	24201
126	3517	24177
127	3547	24168
128	3571	24115
129	3602	24106
130	3635	24115
131	3661	24079
132	3688	24043
133	3717	24026
134	3746	24007
135	3770	23955
136	3800	23939
137	3827	23907
138	3856	23890
139	3880	23834
140	3906	23800
141	3936	23785
142	3964	23757
143	3987	23704
144	4016	23684
145	4047	23675
146	4074	23642
147	4102	23616
148	4130	23589
149	4161	23580
150	4185	23533
151	4214	23514
152	4244	23499
153	4272	23470
154	4303	23463
155	4331	23435
156	4363	23427
157	4389	23389
158	4419	23377
159	4447	23348
160	4476	23328
161	4499	23276
162	4529	23257
163	4557	23230
164	4585	23205
165	4616	23191
166	4644	23164
167	4674	23151
168	4697	23099
169	4725	23073
170	4755	23053
171	4783	23029
172	4814	23014
173	4841	22984
174	4869	22954
175	4896	22923
176	4926	22905
177	4958	22896
178	4986	22868
179	5013	22838
180	5042	22817
181	5074	22805
182	5098	22760
183	5127	22737
184	5154	22708
185	5185	22694
186	5213	22666
187	5243	22648
188	5273	22627
189	5301	22601
190	5331	22583
191	5363	22571
192	5391	22545
193	5423	22531
194	5450	22499
195	5478	22474
196	5505	22440
197	5533	22411
198	5561	22386
199	5592	22370
200	5621	22345
201	5648	22312
202	5679	22296
203	5706	22265
204	5735	22242
205	5762	22210
206	5792	22191
207	5821	22165
208	5850	22140
209	5880	22123
210	5908	22093
211	5940	22081
212	5969	22057
213	5998	22033
214	6026	22002
215	6054	21976
216	6083	21949
217	6110	21919
218	6141	21900
219	6169	21872
220	6200	21855
221	6226	21822
222	6258	21808
223	6287	21782
224	6315	21755
225	6343	21725
226	6373	21702
227	6403	21682
228	6431	21654
229	6458	21623
230	6488	21601
231	6516	21571
232	6540	21531
233	6568	21502
234	6600	21485
235	6625	21450
236	6657	21433
237	6686	21408
238	6715	21382
239	6743	21355
240	6772	21328
241	6802	21308
242	6830	21280
243	6859	21252
244	6887	21225
245	6919	21207
246	6947	21179
247	6977	21157
248	7008	21138
249	7037	21111
250	7064	21081
251	7094	21057
252	7123	21033
253	7152	21007
254	7179	20975
255	7210	20954
256	7235	20919
257	7266	20899
258	7296	20873
259	7325	20849
260	7352	20819
261	7382	20794
262	7411	20770
263	7438	20738
264	7467	20712
265	7496	20685
266	7526	20662
267	7553	20630
268	7583	20607
269	7611	20580
270	7640	20553
271	7670	20529
272	7695	20493
273	7723	20463
274	7749	20429
275	7776	20399
276	7806	20374
277	7834	20346
278	7864	20324
279	7891	20292
280	7919	20263
281	7946	20233
282	7977	20211
283	8005	20183
284	8034	20157
285	8063	20130
286	8091	20101
287	8118	20071
